Category,Id,Key,Kor,NPC,IsStory,Stage,Order,Speaker
일상,0,greet_01,안녕! 오늘도 좋은 하루야.,Shin,false,0,0,NPC
일상,0,greet_02,오늘 하루도 힘내보자!,Shin,false,0,1,NPC

스토리,0,shin_s1_01,드디어 네가 왔구나…,Shin,true,1,0,NPC
스토리,0,shin_s1_02,이제 본격적으로 준비를 시작하자.,Shin,true,1,1,NPC
스토리,0,shin_s1_03,어떤 준비?,Shin,true,1,2,Player

스토리,0,shin_s2_01,다음 단계로 넘어갈 시간이야.,Shin,true,2,0,NPC
스토리,0,shin_s2_02,다음 단계?,Shin,true,2,1,Player

스토리,0,shin_s3_01,준비는 이제 거의 끝났어. 마지막으로 확인할 게 하나 남았어.,Shin,true,3,0,NPC
스토리,0,shin_s3_02,"마지막 확인? 뭐가 그렇게 중요한데?",Shin,true,3,1,Player
스토리,0,shin_s3_03,네가 진짜 이 길을 선택할 마음의 준비가 됐는지 그거야.,Shin,true,3,2,NPC
스토리,0,shin_s3_04,갑자기 왜 그렇게 진지해져… 그래도 도망칠 생각은 없어.,Shin,true,3,3,Player
스토리,0,shin_s3_05,좋아. 그 말 나중에 후회하지 마. 위험해도 난 네 편이니까.,Shin,true,3,4,NPC
스토리,0,shin_s3_06,그래서 더 안심이 되는데? 혼자였다면 벌써 도망갔을지도 몰라.,Shin,true,3,5,Player
스토리,0,shin_s3_07,그럼 출발 전에 마지막으로 묻겠어. 정말… 준비된 거지?,Shin,true,3,6,NPC
스토리,0,shin_s3_08,응. 이제부터가 진짜 시작이잖아. 같이 가자 신 !,Shin,true,3,7,Player

일상,1,greet_01,나구모라고 해.,Nagumo,false,0,0,NPC
일상,1,greet_02,무기를 하나 골라줘.,Nagumo,false,0,1,NPC
일상,1,greet_03,넌 참 운이 없구나.,Nagumo,false,0,2,NPC

스토리,1,nagumo_s1_01,왔냐? 생각보다 빨리 왔군.,Nagumo,true,1,0,NPC
스토리,1,nagumo_s1_02,왜 불렀는데?,Nagumo,true,1,1,Player
스토리,1,nagumo_s1_03,하… 진짜 눈치 없네. 네가 들고 다니는 그 장비 너무 허술하다고.,Nagumo,true,1,2,NPC
스토리,1,nagumo_s1_04,뭐? 나름 튼튼한데?,Nagumo,true,1,3,Player
스토리,1,nagumo_s1_05,그게 튼튼해 보인다고 생각하면… 음 뭐랄까. 귀엽네.,Nagumo,true,1,4,NPC
스토리,1,nagumo_s1_06,귀엽다고 하지 마.,Nagumo,true,1,5,Player
스토리,1,nagumo_s1_07,알겠어. 그럼 대신 제대로 된 장비 하나 골라줄게. 잘 따라와.,Nagumo,true,1,6,NPC
